date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:07	113269/113269	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:06%20GMT	https://www.fmsdental.com/individual-dental-laboratory-technician/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/individual-dental-laboratory-technician/index.html	(from https://www.fmsdental.com/)
16:31:08	91737/91737	---M--	200	added ('OK')	image/jpeg	etag:%2216659-59105bd889038%22	https://www.fmsdental.com/wp-content/uploads/2019/08/Best-Dental-Clinic-FMS-DENTAL.jpg	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/wp-content/uploads/2019/08/Best-Dental-Clinic-FMS-DENTAL.jpg	(from https://www.fmsdental.com/)
16:31:09	106242/106242	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:09%20GMT	https://www.fmsdental.com/dental-education/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/dental-education/index.html	(from https://www.fmsdental.com/)
16:31:10	183896/183896	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:10%20GMT	https://www.fmsdental.com/dental-implants-homepage/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/dental-implants-homepage/index.html	(from https://www.fmsdental.com/)
16:31:11	108822/108822	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:10%20GMT	https://www.fmsdental.com/why-dental-implants/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/why-dental-implants/index.html	(from https://www.fmsdental.com/)
16:31:13	200940/200940	---M--	200	added ('OK')	image/jpeg	etag:%22310ec-59105c1fff760%22	https://www.fmsdental.com/wp-content/uploads/2019/08/Best-Cosmetic-Dental-Clinic.jpg	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/wp-content/uploads/2019/08/Best-Cosmetic-Dental-Clinic.jpg	(from https://www.fmsdental.com/)
16:31:14	110788/110788	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:12%20GMT	https://www.fmsdental.com/best-dental-implant-center-in-india/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/best-dental-implant-center-in-india/index.html	(from https://www.fmsdental.com/)
16:31:15	120953/120953	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:13%20GMT	https://www.fmsdental.com/best-implant-dentist-in-india/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/best-implant-dentist-in-india/index.html	(from https://www.fmsdental.com/)
16:31:15	146809/146809	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:14%20GMT	https://www.fmsdental.com/dental-implant-cost/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/dental-implant-cost/index.html	(from https://www.fmsdental.com/)
16:31:17	55343/55343	---M--	200	added ('OK')	image/jpeg	etag:%22d82f-59105f81f4147%22	https://www.fmsdental.com/wp-content/uploads/2019/08/Best-Dentist-Hyderabad.jpg	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/wp-content/uploads/2019/08/Best-Dentist-Hyderabad.jpg	(from https://www.fmsdental.com/)
